YEAR,MO,DY,HR,WS50M,WD50M
2006,1,12,17,9.48,107.4
2006,1,12,18,9.66,108.0
2006,1,12,19,9.3,108.9
2006,1,12,20,8.78,111.2
2006,1,12,21,8.31,114.6
2006,1,12,22,8.07,117.5
2006,1,12,23,7.37,119.9
2006,1,13,0,6.89,121.9
2006,1,13,1,6.15,123.2
2006,1,13,2,5.95,124.9
2006,1,13,3,6.16,125.3
2006,1,13,4,6.97,123.9
2006,1,13,5,7.69,122.5
2006,1,13,6,7.99,122.2
2006,1,13,7,9.84,122.3
2006,1,13,8,10.2,123.8
2006,1,13,9,10.02,124.8
2006,1,13,10,9.86,124.7
2006,1,13,11,9.78,124.5
2006,1,13,12,9.77,124.5
2006,1,13,13,9.94,124.4
2006,1,13,14,10.18,124.4
2006,1,13,15,10.43,124.5
2006,1,13,16,10.61,124.9
2006,1,13,17,10.73,125.3
2006,1,13,18,10.7,125.1
2006,1,13,19,10.29,124.8
2006,1,13,20,9.74,125.6
2006,1,13,21,8.95,126.5
2006,1,13,22,7.96,126.5
2006,1,13,23,7.13,126.2
2006,1,14,0,6.75,126.8
2006,1,14,1,6.62,128.6
2006,1,14,2,7.14,129.5
2006,1,14,3,7.84,130.8
2006,1,14,4,8.08,132.6
2006,1,14,5,8.42,134.4
2006,1,14,6,8.45,136.2
2006,1,14,7,10.06,135.1
2006,1,14,8,10.64,132.0
2006,1,14,9,10.33,130.1
2006,1,14,10,9.99,128.9
2006,1,14,11,9.77,128.7
2006,1,14,12,9.45,129.7
2006,1,14,13,9.13,131.4
2006,1,14,14,9.02,132.1
2006,1,14,15,9.14,131.9
2006,1,14,16,9.46,130.3
2006,1,14,17,9.92,127.9
2006,1,14,18,10.03,124.8
2006,1,14,19,8.97,120.9
2006,1,14,20,8.22,119.5
2006,1,14,21,8.03,121.2
2006,1,14,22,7.74,122.4
2006,1,14,23,7.43,124.6
2006,1,15,0,7.16,127.3
2006,1,15,1,6.91,130.3
2006,1,15,2,6.55,133.6
2006,1,15,3,6.42,137.0
2006,1,15,4,6.12,140.8
2006,1,15,5,5.94,144.1
2006,1,15,6,6.03,145.7
2006,1,15,7,7.81,138.3
2006,1,15,8,8.68,132.2
2006,1,15,9,8.19,129.3
2006,1,15,10,7.9,126.2
2006,1,15,11,7.78,123.1
2006,1,15,12,7.7,121.6
2006,1,15,13,7.75,120.5
2006,1,15,14,7.87,120.2
2006,1,15,15,8.04,120.3
2006,1,15,16,8.54,119.0
2006,1,15,17,9.32,118.2
2006,1,15,18,9.96,117.7
2006,1,15,19,10.22,117.4
2006,1,15,20,10.15,119.8
2006,1,15,21,9.62,123.9
2006,1,15,22,8.97,127.3
2006,1,15,23,8.21,129.8
2006,1,16,0,7.76,131.3
2006,1,16,1,7.32,133.0
2006,1,16,2,7.16,134.2
2006,1,16,3,7.5,134.1
2006,1,16,4,7.56,133.9
2006,1,16,5,7.26,133.8
2006,1,16,6,7.11,133.8
2006,1,16,7,9.41,131.4
2006,1,16,8,9.72,127.2
2006,1,16,9,9.28,122.5
2006,1,16,10,8.71,118.8
2006,1,16,11,8.05,116.7
2006,1,16,12,7.66,115.5
2006,1,16,13,7.39,115.3
2006,1,16,14,7.21,115.3
2006,1,16,15,7.48,115.2
